List of American Championship Car winners - Wikipedia 
===================================================== 

National Championships chart 
============================ 
Driver     |     Nation     |     AAA (1905) (1916) (1920-1955)     |     USAC (1956-1979)     |     CART (1979-2003)     |     Champ Car World Series (2004-2007)     |     IRL IndyCar Series (1996-present)     |     Combined Total 
Louis Chevrolet | Switzerland | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Robert Doornbos | Netherlands | 0 | 0 | 0 | 0 | 2 | 0 | 2 
Robbie Buhl | United States | 0 | 0 | 0 | 0 | 0 | 2 | 2 
Tomas Scheckter | South Africa | 0 | 0 | 0 | 0 | 0 | 2 | 2 
Scott Pruett | United States | 0 | 0 | 0 | 2 | 0 | 0 | 2 
Roberto Guerrero | Colombia | 0 | 0 | 0 | 2 | 0 | 0 | 2 
Alex Barron (racing driver) | United States | 0 | 0 | 0 | 0 | 0 | 2 | 2 
Marco Andretti | United States | 0 | 0 | 0 | 0 | 0 | 2 | 2 
John Paul, Jr. (racing driver) | United States | 0 | 0 | 0 | 1 | 0 | 1 | 2 
Roberto Moreno | Brazil | 0 | 0 | 0 | 2 | 0 | 0 | 2 
Christian Fittipaldi | Brazil | 0 | 0 | 0 | 2 | 0 | 0 | 2 
Michel Jourdain, Jr. | Mexico | 0 | 0 | 0 | 2 | 0 | 0 | 2 
Robby Gordon | United States | 0 | 0 | 0 | 2 | 0 | 0 | 2 
Mario Domínguez | Mexico | 0 | 0 | 0 | 2 | 0 | 0 | 2 
Art Pollard | United States | 0 | 0 | 2 | 0 | 0 | 0 | 2 
Pat O'Connor (racing driver) | United States | 0 | 0 | 2 | 0 | 0 | 0 | 2 
Jim Clark | United Kingdom | 0 | 0 | 2 | 0 | 0 | 0 | 2 
Paul Russo | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Manny Ayulo | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Bob McDonogh | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Joe Thomas (racing driver) | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Louis Unser | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Cliff Woodbury | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Lou Moore | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Babe Stapp | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Mel Hansen | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Bob Carey (racecar driver) | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Harlan Fengler | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Pietro Bordino | Italy | 2 | 0 | 0 | 0 | 0 | 0 | 2 
Troy Ruttman | United States | 2 | 0 | 0 | 0 | 0 | 0 | 2 
George Connor (racing driver) | United States | 1 | 1 | 0 | 0 | 0 | 0 | 2 
Charles Van Acker | United States | 1 | 1 | 0 | 0 | 0 | 0 | 2 
Bus Wilbert (page does not exist) | United States | 0 | 2 | 0 | 0 | 0 | 0 | 2 
Johnny Shackleford (page does not exist) | United States | 0 | 2 | 0 | 0 | 0 | 0 | 2 
Oscar Ridion (page does not exist) | United States | 0 | 2 | 0 | 0 | 0 | 0 | 2 
Elbert Booker (page does not exist) | United States | 0 | 2 | 0 | 0 | 0 | 0 | 2 
Tommy Hinnershitz | United States | 0 | 2 | 0 | 0 | 0 | 0 | 2 
I. P. Fetterman | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Howdy Wilcox | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Joe Boyer | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Eddie Pullen | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Gaston Chevrolet | France | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Jeff Ward (motorsports) | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Billy Boat | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Felipe Giaffone | Brazil | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Mark Dismore | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Eliseo Salazar | Chile | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Sam Schmidt | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Buzz Calkins | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Airton Dare | Brazil | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Jaques Lazier | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Richie Hearn | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Jim Guthrie (racing driver) | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Danica Patrick | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Charlie Kimball | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Carlos Muñoz (racing driver) | Colombia | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Carlos Huertas | Colombia | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Colton Herta | United States | 0 | 0 | 0 | 0 | 0 | 1 | 1 
Oriol Servià | Spain | 0 | 0 | 0 | 0 | 1 | 0 | 1 
Alex Tagliani | Canada | 0 | 0 | 0 | 0 | 1 | 0 | 1 
Nelson Philippe | France | 0 | 0 | 0 | 0 | 1 | 0 | 1 
Maurício Gugelmin | Brazil | 0 | 0 | 0 | 1 | 0 | 0 | 1 
Kevin Cogan | United States | 0 | 0 | 0 | 1 | 0 | 0 | 1 
Pancho Carter | United States | 0 | 0 | 0 | 1 | 0 | 0 | 1 
Jacques Villeneuve (racing driver, born 1953) | Canada | 0 | 0 | 0 | 1 | 0 | 0 | 1 
Héctor Rebaque | Mexico | 0 | 0 | 0 | 1 | 0 | 0 | 1 
John Andretti | United States | 0 | 0 | 0 | 1 | 0 | 0 | 1 
Bill Vukovich II | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Bobby Marshman | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Swede Savage | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Keith Kauffman | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Graham Hill | United Kingdom | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Van Johnson (racing driver) | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
George Snider | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Bud Tingelstad | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Elmer George | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Wes Vandervoort (page does not exist) | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Bobby Grim | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Peter Revson | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Rich Vogler | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Dick Atkins | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Jim Packard | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Larry Rice | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Ronnie Bucknum | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Art Bisch | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Bobby Olivero | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
George Follmer | United States | 0 | 0 | 1 | 0 | 0 | 0 | 1 
Emil Andres | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Henry Banks | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Bill Schindler | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Mike Nazaruk | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Fred Comer | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Fred Frame | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Duke Dinsmore | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Earl Devore | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Jimmy Snyder (racing driver) | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Walt Brown | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Norman Batten | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Jimmy Gleason | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Webb Jay (page does not exist) | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Stubby Stubblefield | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Keith Andrews (racing driver) | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Bobby Ball (racing driver) | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Floyd Roberts | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Phil Shafer | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Bob Finley | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Johnny Mantz | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Louis Schneider | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
George Souders | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Guy Vaughn (page does not exist) | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
George Hammond (racing driver) (page does not exist) | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Fred Agabashian | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Floyd Davis | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
L. L. Corum | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Tazio Nuvolari | Italy | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Bernd Rosemeyer | Germany | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Charles Burman (page does not exist) | United States | 1 | 0 | 0 | 0 | 0 | 0 | 1 
Bumpy Bumpus (page does not exist) | United States | 0 | 1 | 0 | 0 | 0 | 0 | 1 
Joe Verebley (page does not exist) | United States | 0 | 1 | 0 | 0 | 0 | 0 | 1 
Lucky Lux (page does not exist) | United States | 0 | 1 | 0 | 0 | 0 | 0 | 1 
Hal Robson | United States | 0 | 1 | 0 | 0 | 0 | 0 | 1 
Hank Rogers (page does not exist) | United States | 0 | 1 | 0 | 0 | 0 | 0 | 1 


Total player: 247 

Race wins by nationality
========================
Rank     |     Country     |     Wins     |     Driver(s)     |     Last Win (Year) 
1 | United States | 1162 | 228 | 2019
2 | Brazil | 110 | 11 | 2017
3 | United Kingdom | 80 | 10 | 2014
4 | Canada | 61 | 10 | 2018
5 | France | 56 | 6 | 2019
6 | Italy | 50 | 6 | 2001
7 | New Zealand | 45 | 1 | 2019
8 | Australia | 42 | 2 | 2018
9 | Colombia | 19 | 4 | 2016
10 | Mexico | 16 | 4 | 2004
11 | Switzerland | 14 | 1 | 1919
12 | Netherlands | 9 | 2 | 2007
12 | Sweden | 9 | 1 | 2002
14 | Japan | 4 | 1 | 2019
15 | Norway | 3 | 1 | 1916
16 | South Africa | 2 | 1 | 2005
17 | Spain | 1 | 1 | 2005
17 | Chile | 1 | 1 | 1997
17 | Germany | 1 | 1 | 1937
