List of Vancouver Canucks players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Brandon Reid | Canada | 2002–2007
Paul Reinhart | Canada | 1988–1990
Borna Rendulic | Croatia | 2016–2017
Brad Richardson | Canada | 2013–2015
Glen Richardson | Canada | 1975–1976
Dave Richter | Canada | 1986–1988
Mike Ridley | Canada | 1995–1997
Byron Ritchie | Canada | 2007–2008
Garth Rizzuto | Canada | 1970–1971
David Roberts | United States | 1996–1998
Bert Robertsson | Sweden | 1997–1999
Mike Robitaille | Canada | 1974–1977
Leon Rochefort | Canada | 1974–1976
Anton Rodin | Sweden | 2016–2017
Jeff Rohlicek | United States | 1987–1989
Leif Rohlin | Sweden | 1995–1997
Aaron Rome | Canada | 2009–2012
Cliff Ronning | Canada | 1990–1996
Darcy Rota | Canada | 1979–1984
Antoine Roussel | France | 2018–2019
Derek Roy | Canada | 2012–2013
Martin Rucinsky | Czech Republic | 2003–2004
Christian Ruuttu | Finland | 1994–1995
Jarkko Ruutu | Finland | 1999–2006
Prestin Ryan | Canada | 2005–2006
Rick Rypien | Canada | 2005–2011
Sami Salo | Finland | 2002–2012
Mikael Samuelsson | Sweden | 2009–2012
Derek Sanderson | Canada | 1976–1977
Geoff Sanderson | Canada | 1997–19982003–2004
Jim Sandlak | Canada | 1985–19931995–1996
Tommi Santala | Finland | 2006–2007
Mike Santorelli | Canada | 2013–2014
David Saunders | Canada | 1987–1988
Ashton Sautner | Canada | 2017–2019
Yann Sauve | Canada | 2010–20112013–2014
Luca Sbisa | Switzerland | 2014–2017
Dave Scatchard | Canada | 1997–2000
Peter Schaefer | Canada | 1998–20012010–2011
Tim Schaller | United States | 2018–2019
John Schella | Canada | 1970–1972
Luke Schenn | Canada | 2018–2019
Andy Schliebener | Canada | 1981–1985
Bobby Schmautz | Canada | 1970–19741980–1981
Mathieu Schneider | United States | 2009–2010
Jordan Schroeder | United States | 2012–2014
Jesse Schultz | Canada | 2006–2007
Daniel Sedin | Sweden | 2000–2018
Henrik Sedin | Sweden | 2000–2018
Ron Sedlbauer | Canada | 1974–1980
Danny Seguin | Canada | 1970–1974
Alexander Semak | Russia | 1996–1997
Anatoli Semenov | Russia | 1992–1993
Tom Sestito | United States | 2012–2015
Ryan Shannon | United States | 2007–2008
Vadim Sharifijanov | Russia | 1999–2000
Hunter Shinkaruk | Canada | 2015–2016
Sergei Shirokov | Russia | 2009–2011
Drew Shore | United States | 2016–2017
Mike Sillinger | Canada | 1995–1998
