List of Pittsburgh Penguins players - Wikipedia
===============================================
Skaters
_______
Player     |     Years     
Ian Moran | 1995–2003
Aleksey Morozov | 1997–2004
Jim Morrison | 1969–1971
Lew Morrison | 1974–1978
Brenden Morrow | 2012–2013
Kael Mouillierat | 2015–2016
Joe Mullen | 1990–1997
Glenn Mulvenna | 1991–1992
Paul Mulvey | 1981–1982
Craig Muni | 1996–1997
Matt Murley | 2003–2006
Larry Murphy | 1990–1995
Douglas Murray | 2012–2013
Glen Murray | 1995–1997
Troy Murray | 1994–1995
Markus Naslund | 1993–1996
Alain Nasreddine | 2005–2008
James Neal | 2010–2014
Pat Neaton | 1993–1994
Petr Nedved | 1995–1997
Michael Needham | 1992–1994
Todd Nelson | 1991–1992
Ville Nieminen | 2001–2003
Matt Niskanen | 2010–2014
Theodore Nolan | 1985–1986
Simon Nolet | 1975–1976
Niklas Nordgren | 2005–2006
Joe Noris | 1971–1972
Jeffrey Norton | 2000–2001
Hank Nowak | 1973–1974
Thomas O'Regan | 1983–1986
Cal O'Reilly | 2011–2012
Lyle Odelein | 2005–2006
Roman Oksiuta | 1996–1997
Fredrik Olausson | 1996–1998
Eddie Olczyk | 1996–1998
Jamie Oleksiak | 2017–2019
Steve Oleksy | 2016–2017
Krzysztof Oliwa | 2000–2002
Brooks Orpik | 2002–2014
Michel Ouellet | 2005–2007
Dennis Owchar | 1974–1978
Jim Paek | 1990–1994
Wilf Paiement | 1987–1988
Ziggy Palffy | 2005–2006
Robert Paradise | 1973–1979
Richard Park | 1994–2012
Ed Patterson | 1993–1997
Adam Payerl | 2013–2014
Mel Pearson | 1967–1968
Tanner Pearson | 2018–2019
Barry Pederson | 1989–1991
David Perron | 2015–2016
Janne Pesonen | 2008–2009
Toby Petersen | 2000–2002
Ronald Petrovicky | 2006–2007
Marcus Pettersson | 2018–2019
Alexandre Picard | 2011–2012
Lasse Pirjeta | 2003–2006
Domenic Pittis | 1996–1997
Sergei Plotnikov | 2015–2016
Steve Poapst | 2005–2006
Greg Polis | 1970–1974
Alexei Ponikarovsky | 2009–2010
Peter Popovic | 1999–2000
Kevin Porter | 2015–2017
Corey Potter | 2010–2011
Derrick Pouliot | 2014–2017
Kelly Pratt | 1974–1975
Tracy Pratt | 1968–1970
Dean Prentice | 1969–1971
Noel Price | 1967–1969
Pat Price | 1980–1983
Thomas Price | 1976–1979
Ken Priestlay | 1990–1992
Wayne Primeau | 2000–2003
Sean Pronger | 1997–1999
Joseph Pronovost | 1968–1978
Jamie Pushor | 2001–2003
Taylor Pyatt | 2013–2014
Dan Quinn | 1986–1997
Michael Ramsey | 1992–1994
Ryan Reaves | 2017–2018
Mark Recchi | 1988–2008
Dylan Reese | 2012–2013
Stephane Richer | 2001–2002
Juuso Riikola | 2018–2019
Gary Rissling | 1980–1985
Jani Rita | 2005–2006
Bob Rivard | 1967–1968
Rene Robert | 1971–1972
Gary Roberts | 2006–2008
Gordon Roberts | 1990–1992
Luc Robitaille | 1994–1995
Randy Robitaille | 2001–2003
Dave Roche | 1995–1997
Thomas Roulston | 1983–1986
Mike Rowe | 1984–1987
Carter Rowney | 2016–2018
Andre Roy | 2005–2007
Michal Rozsival | 1999–2003
Chad Ruhwedel | 2016–2019
Duane Rupp | 1968–1973
Mike Rupp | 2009–2011
Terry Ruskowski | 1985–1987
Bryan Rust | 2014–2019
Jarkko Ruutu | 2006–2008
Rocky Saganiuk | 1983–1984
Kjell Samuelsson | 1991–1995
Mikael Samuelsson | 2002–2003
Philip Samuelsson | 2013–2014
Ulf Samuelsson | 1990–1995
Derek Sanderson | 1977–1978
Tomas Sandstrom | 1993–1997
Grant Sasser | 1983–1984
Miroslav Satan | 2008–2009
Glen Sather | 1969–1971
Ryan Savoia | 1998–1999
Ken Schinkel | 1967–1973
Norm Schmidt | 1983–1988
Ron Schock | 1969–1977
Dwight Schofield | 1986–1987
Dave Schultz | 1977–1979
Justin Schultz | 2015–2019
Rodney Schutt | 1978–1984
Rob Scuderi | 2003–2016
Jeff Serowik | 1998–1999
Tom Sestito | 2015–2017
Eddie Shack | 1971–1973
Riley Sheahan | 2017–2019
Conor Sheary | 2015–2018
Douglas Shedden | 1981–1986
Gregory Sheppard | 1978–1982
Jim Shires | 1972–1973
Zach Sill | 2013–2015
Jon Sim | 2003–2004
Roman Simicek | 2000–2001
Charles Simmer | 1987–1988
Craig Simpson | 1985–1988
Reid Simpson | 2003–2004
Robert Simpson | 1981–1983
Dominik Simon | 2015–2019
Ville Siren | 1985–1989
Michal Sivek | 2002–2003
Martin Skoula | 2009–2010
Pavel Skrbek | 1998–1999
John Slaney | 1999–2000
Jiri Slegr | 1997–2001
Douglas Smith | 1989–1990
Nathan Smith | 2007–2008
Trevor Smith | 2012–2013
Bryan Smolinski | 1995–1996
Carl Sneep | 2011–2012
Ron Snell | 1968–1970
Ted Snell | 1973–1974
Martin Sonnenberg | 1998–2000
Nick Spaling | 2014–2015
Bill Speer | 1967–1969
Brian Spencer | 1977–1979
Daniel Sprong | 2015–2019
Andre St. Laurent | 1981–1984
Jordan Staal | 2006–2012
Ronald Stackhouse | 1973–1982
Paul Stanton | 1990–1993
Mike Stapleton | 1992–1994
Lee Stempniak | 2013–2014
Brett Sterling | 2010–2011
Kevin Stevens | 1987–2002
John Stewart | 1970–1972
Karl Stewart | 2006–2007
Robert Stewart | 1979–1980
Alek Stojanov | 1995–1997
Ryan Stone | 2007–2009
Blaine Stoughton | 1973–1974
Brian Strait | 2010–2012
Martin Straka | 1992–2004
Art Stratton | 1967–1968
Martin Strbak | 2003–2004
Mark Streit | 2016–2017
Bob Stumpf | 1974–1975
Steve Sullivan | 2011–2012
Oskar Sundqvist | 2015–2017
Tomas Surovy | 2002–2006
Brandon Sutter | 2012–2015
Richard Sutter | 1982–1984
Garry Swain | 1968–1969
George Swarbrick | 1968–1970
Darryl Sydor | 2007–2009
Petr Sykora | 2007–2009
Jeff Taffe | 2007–2009
Peter Taglianetti | 1990–1995
Maxime Talbot | 2005–2011
Dale Tallon | 1978–1980
Chris Tamer | 1993–1999
Eric Tangradi | 2009–2013
Tony Tanti | 1989–1991
Dick Tarnstrom | 2002–2006
Mark Taylor | 1983–1985
Gregory Tebbutt | 1983–1984
Bill Thomas | 2008–2009
Loran Thompson | 1980–1981
Chris Thorburn | 2006–2007
Thomas Thornbury | 1983–1984
Billy Tibbetts | 2000–2002
Dave Tippett | 1992–1993
German Titov | 1998–2000
Rick Tocchet | 1991–1994
Jeff Toms | 2001–2002
Timothy Tookey | 1983–1984
Daniel Trebil | 1999–2001
Zach Trotman | 2017–2019
Bryan Trottier | 1990–1994
Ian Turnbull | 1982–1983
Gene Ubriaco | 1967–1969
Dominik Uher | 2014–2015
Garry Valk | 1996–1998
Wayne Van Dorp | 1987–1988
Ed Van Impe | 1975–1977
Ryan Vandenbussche | 2005–2006
Joe Vitale | 2010–2014
Vladimir Vujtek | 2002–2003
Tim Wallace | 2008–2011
David Warsofsky | 2015–2017
Bryan Watson | 1968–1974
Steve Webb | 2003–2004
Edward Weir | 1984–1985
Noah Welch | 2005–2007
Chris Wells | 1995–1996
Brad Werenka | 1997–2000
Ryan Whitney | 2005–2009
Thomas Wiley | 1972–1974
Barry Wilkins | 1974–1976
Neil Wilkinson | 1995–1999
Jason Williams | 2011–2012
Garrett Wilson | 2018–2019
Landon Wilson | 2003–2004
Mike Wilson | 2001–2002
Mitch Wilson | 1986–1987
Scott Wilson | 2014–2017
Daniel Winnik | 2014–2015
Bennett Wolf | 1980–1983
Jason Woolley | 1996–1997
Bob Woytowich | 1968–1972
Tyler Wright | 1996–2000
Harry York | 1998–1999
Scott Young | 1990–1991
Warren Young | 1983–1988
Rod Zaine | 1970–1971
Zarley Zalapski | 1987–1991
Richard Zemlak | 1988–1990
Michael Zigomanis | 2008–2009
Harry Zolnierczyk | 2013–2014
Sergei Zubov | 1995–1996


Goaltenders
___________
Player     |     Years
Jean-Sebastien Aubin | 1998–2004
Tom Barrasso | 1988–2000
Hank Bassen | 1967–1968
Les Binkley | 1967–1972
Martin Brochu | 2003–2004
Andy Brown | 1972–1974
Sebastien Caron | 2000–2006
Alain Chevrier | 1989–1990
Andy Chiodo | 2003–2004
Mike Condon | 2016–2017
Ty Conklin | 2007–2008
John Curry | 2008–2010
Thomas Daley | 1968–1970
Philippe De Rouville | 1994–1997
Casey DeSmith | 2017–2019
Michel Dion | 1981–1985
Robert Dopson | 1993–1994
Gary Edwards | 1981–1982
Marv Edwards | 1968–1969
Roy Edwards | 1971–1972
Marc-Andre Fleury | 2003–2017
Brian Ford | 1984–1985
Mathieu Garon | 2008–2009
Thomas Greiss | 2014–2015
Steve Guenette | 1986–1989
Paul Harrison | 1981–1982
Johan Hedberg | 2000–2003
Denis Herron | 1972–1986
Paul Hoganson | 1970–1971
Robert Holland | 1979–1981
Gary Inness | 1973–1976
Tristan Jarry | 2016–2019
Bob Johnson | 1974–1975
Brent Johnson | 2009–2012
Patrick Lalime | 1996–1997
Gordon Laxton | 1975–1979
Gilles Meloche | 1985–1988
Gregory Millen | 1978–1981
Matt Murray | 2015–2019
Cam Newton | 1970–1973
Antti Niemi | 2017–2018
Rich Parent | 2000–2001
Alexander Pechurskiy | 2009–2010
Frank Pietrangelo | 1987–1992
Michel Plasse | 1974–1976
Greg Redquest | 1977–1978
Nick Ricci | 1979–1983
