List of Nashville Predators players - Wikipedia
===============================================
Goaltenders
___________
John Slaney | Canada | 1998—1999
Craig Smith | United States | 2011—2019
Trevor Smith | Canada | 2016—2017
Wyatt Smith | Canada | 2002—2004
Jerred Smithson | Canada | 2005—2012
Brad Smyth | Canada | 1998—1999
Nick Spaling | Canada | 2009—2014
Viktor Stalberg | Sweden | 2013—2015
Jeremy Stevenson | United States | 2000—20022003—2006
Zack Stortini | Canada | 2011—2012
P. K. Subban | Canada | 2016—2019
Steve Sullivan | Canada | 2003—20072008—2011
Alexander Sulzer | Germany | 2008—2011
Ryan Suter | United States | 2005—2012
Marek Svatos | Slovakia | 2010—2011
Petr Sykora | Czech Republic | 1998—1999
Nick Tarnasky | Canada | 2008—2009
Petr Tenkrat | Czech Republic | 2001—2002
Ryan Thang | United States | 2011—2012
Andreas Thuresson | Sweden | 2009—2011
Kimmo Timonen | Finland | 1998—2007
Eeli Tolvanen | Finland | 2017—2019
Jordin Tootoo | Canada | 2003—2012
Pascal Trepanier | Canada | 2002—2003
Darren Turcotte | United States | 1998—2000
Kyle Turris | Canada | 2017—2019
Scottie Upshall | Canada | 2002—2007
Rob Valicevic | United States | 1998—2001
Mark Van Guilder | United States | 2013—2015
Josef Vasicek | Czech Republic | 2006—2007
Vitaly Vishnevski | Ukraine | 2006—2007
Anton Volchenkov | Russia | 2014—2015
Jan Vopat | Czech Republic | 1998—2000
Scott Walker | Canada | 1998—2006
Joel Ward | Canada | 2008—2011
Todd Warriner | Canada | 2002—2003
Austin Watson | United States | 2012—2019
Mike Watt | Canada | 2000—2001
Shea Weber | Canada | 2005—2016
Yannick Weber | Switzerland | 2016—2019
Clarke Wilm | Canada | 2002—2003
Colin Wilson | Canada | 2009—2017
Kyle Wilson | Canada | 2011—2012
Brendan Witt | Canada | 2005—2006
Vitali Yachmenev | Russia | 1998—2003
Brandon Yip | Canada | 2011—2013
Jason York | Canada | 2002—2004
Greg Zanon | Canada | 2005—2009
Rob Zettler | Canada | 2008—2011
Sergei Zholtok | Latvia | 2003—2004
Marek Zidlicky | Czech Republic | 2003—2008
Harry Zolnierczyk | Canada | 2016—2017


Total Goaltenders: 17
Total Skaters: 255
