List of Ottawa Senators players - Wikipedia
===========================================
Goaltenders
___________
Name     |     #     |     Nationality     |     Seasons     
Sieloff, Patrick | 50 | United States | 2017–2019
Silfverberg, Jakob | 33 | Sweden | 2011–2013
Sillinger, Mike | 16 | Canada | 2000–2001
Simpson, Todd | 27 | Canada | 2003–2004
Smail, Doug | 9 | Canada | 1992–1993
Smith, Derek | 51 | Canada | 2009–2011
Smith, Jason | 21 | Canada | 2008–2009
Smith, Zack | 15 | Canada | 2008–present
Smolinski, Bryan | 21 | United States | 2002–2006
Smyth, Brad | 38 | Canada | 2002–2003
Spezza, Jason | 19 | Canada | 2002–2014
St. Amour, Martin | 21 | Canada | 1992–1993
St. Pierre, Martin | 37 | Canada | 2009–2010
Stålberg, Viktor | 24 | Sweden | 2016–2017
Stillman, Cory | 61 | Canada | 2007–2008
Stone, Mark | 61 | Canada | 2011–2019
Straka, Martin | 82 | Czech Republic | 1994–1996
Sutton, Andy | 5 | Canada | 2009–2010
Svatos, Marek | 10 | Slovakia | 2010–2011
Tetarenko, Joey | 36 | Canada | 2002–2003
Thompson, Nate | 17 | United States | 2017–2018
Thomson, Jim | 33 | Canada | 2002–2003
Tierney, Chris | 71 | Canada | 2018–present
Tkachuk, Brady | 7 | United States | 2018–present
Tormanen, Antti | 10 | Finland | 1995–1996
Townshend, Graeme | 12 | Jamaica | 1993–1994
Traverse, Patrick | 3 | Canada | 1995–2000
Turgeon, Sylvain | 61 | Canada | 1992–1995
Turris, Kyle | 7 | Canada | 2011–2018
Van Allen, Shaun | 22 | Canada | 1996–20002003–2004
Van Drunen, David | 52 | Canada | 1999–2000
Varada, Vaclav | 26 | Czech Republic | 2003–2006
Varone, Phil | 81 | Canada | 2015–2017
Vauclair, Julien | 42 | Switzerland | 2003–2004
Vermette, Antoine | 20 | Canada | 2003–2009
Veronneau, Max | 14 | Canada | 2018–present
Vial, Dennis | 21 | Canada | 1993–1998
Volchenkov, Anton | 24 | Russia | 2002–2010
Von Stefenelli, Phil | 29 | Canada | 1996–1997
White, Colin | 36 | United States | 2016–present
White, Todd | 28 | Canada | 2000-2004
Wick, Roman | 43 | Switzerland | 2010–2011
Wideman, Chris | 6 | United States | 2015–2019
Wiercioch, Patrick | 46 | Canada | 2010–2016
Winchester, Jesse | 18 | Canada | 2007–2012
Wingels, Tommy | 57 | United States | 2016–2017
Wolanin, Christian | 86 | Canada | 2017–present
Yashin, Alexei | 19 | Russia | 1993–2001
Ylönen, Juha | 36 | Finland | 2001–2002
York, Jason | 33 | Canada | 1996–2001
Zamuner, Rob | 7 | Canada | 1999–2001
Zent, Jason | 38 | United States | 1996–1998
Zholtok, Sergei | 26 | Latvia | 1996–1998
Zibanejad, Mika | 93 | Sweden | 2011–2016
Zubov, Ilya | 53 | Russia | 2007–2009


Total Goaltenders: 38
Total Skaters: 331
