List of Minnesota Wild players - Wikipedia
==========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Joel Ward | Canada | 2006–2007
Mattias Weinhandl | Sweden | 2005–2007
Craig Weller | Canada | 2008–2009
Casey Wellman | Canada | 2009–2012
Erik Westrum | United States | 2005–2006
Ryan White | Canada | 2016–2017
Todd White | Canada | 2005–2007
Jason Wiemer | Canada | 2003–2004
Daniel Winnik | Canada | 2017–2018
Greg Zanon | Canada | 2009–2012
Sergei Zholtok | Latvia | 2001–2004
Marek Zidlicky | Czech Republic | 2008–2012
Jason Zucker | United States | 2011–2019
Andrei Zyuzin | Russia | 2002–2006


Total Goaltenders: 17
Total Skaters: 237
