List of Anaheim Ducks players - Wikipedia
=========================================
Goaltenders
___________
Melin, Bjorn | Sweden | 2006–2007
Mikkelson, Brendan | Canada | 2008–2011
Mikulchik, Oleg | Russia | 1995–1996
Miller, Drew | United States | 2006–2009
Miller, Kip | United States | 1999–2000
Mironov, Dmitri | Russia | 1996–1998
Moen, Travis | Canada | 2005–2009
Montador, Steve | Canada | 2008–2009
Montour, Brandon | Canada | 2016–2019
Moran, Ian | United States | 2006–2007
Moro, Marc | Canada | 1997–1998
Morrison, Brendan | Canada | 2008–2009
Motzko, Joe | United States | 2006–2007
Mowers, Mark | United States | 2007–2008
Nazarov, Andrei | Russia | 2000–2001
Nieckar, Barry | Canada | 1996–1998
Niedermayer, Rob | Canada | 2002–2009
Niedermayer, Scott | Canada | 2005–2010
Nielsen, Jeff | United States | 1997–2000
Niemi, Antti-Jussi | Finland | 2000–2002
Nikulin, Igor | Russia | 1996–1997
Noesen, Stefan | United States | 2014–2017
Nokelainen, Petteri | Finland | 2008–2010
Norris, Dwayne | Canada | 1995–1996
O'Brien, Shane | Canada | 2006–2007
O'Connor, Myles | Canada | 1993–1994
O'Donnell, Sean | Canada | 2005–2008
O'Marra, Ryan | Canada | 2011–2012
O'Sullivan, Chris | United States | 2002–2003
Oates, Adam | Canada | 2002–2003
Oksiuta, Roman | Russia | 1995–1997
Olausson, Fredrik | Sweden | 1995–19971998–20002002–2003
Oystrick, Nathan | Canada | 2009–2010
Ozolinsh, Sandis | Latvia | 2002–2006
Pahlsson, Samuel | Sweden | 2000–2009
Palmieri, Kyle | United States | 2010–2015
Park, Richard | South Korea | 1996–1998
Parros, George | United States | 2006–2012
Parssinen, Timo | Finland | 2001–2002
Pelley, Rod | Canada | 2011–2012
Penner, Dustin | Canada | 2005–20072013–2014
Perron, David | Canada | 2015–2016
Perry, Corey | Canada | 2005–2019
Perreault, Mathieu | Canada | 2013–2014
Pettersson, Marcus | Sweden | 2017–2019
Pirri, Brandon | Canada | 2015–2016
Platt, Geoff | Canada | 2007–2008
Plavsic, Adrien | Canada | 1996–1997
Popovic, Mark | Canada | 2003–2004
Pronger, Chris | Canada | 2006–2009
Pronger, Sean | Canada | 1995–1998
Prospal, Vaclav | Czech Republic | 2003–2004
Pushor, Jamie | Canada | 1997–1999
Rakell, Rickard | Sweden | 2012–2019
Rasmussen, Dennis | Sweden | 2017–2018
Raymond, Mason | Canada | 2016–2017
Reichert, Craig | Canada | 1996–1997
Ritchie, Nick | Canada | 2015–2019
Robak, Colby | Canada | 2014–2015
Robidas, Stephane | Canada | 2013–2014
Rome, Aaron | Canada | 2006–2007
Ronnqvist, Jonas | Sweden | 2000–2001
Rowney, Carter | Canada | 2018–2019
Roy, Kevin | Canada | 2017–2019
Rucchin, Steve | Canada | 1994–2004
Ruutu, Jarkko | Finland | 2010–2011
Ryan, Bobby | United States | 2007–2013
Rychel, Warren | Canada | 1996–1998
Sacco, David | United States | 1994–1996
Sacco, Joe | United States | 1993–1998
Salcido, Brian | United States | 2008–2009
Salei, Ruslan | Belarus | 1996–2006
Sandstrom, Tomas | Sweden | 1997–1999
Santorelli, Mike | Canada | 2015–2016
Sauer, Kurt | United States | 2002–2004
Sawyer, Kevin | Canada | 2000–2003
Sbisa, Luca | Switzerland | 2009–2014
Schastlivy, Petr | Russia | 2003–2004
Schenn, Luke | Canada | 2018–2019
Schneider, Mathieu | United States | 2007–2008
Sekac, Jiri | Czech Republic | 2014–2016
Selanne, Teemu | Finland | 1995–20012005–2014
Semenov, Anatoli | Russia | 1993–1996
Severson, Cam | Canada | 2002–2004
Severyn, Brent | Canada | 1997–1998
Sexton, Dan | United States | 2009–2011
Sgarbossa, Michael | Canada | 2015–2017
Shannon, Ryan | United States | 2006–2007
Sharp, MacGregor | Canada | 2009–2010
Shaw, Logan | Canada | 2016–2018
Sherwood, Kiefer | United States | 2018–2019
Shore, Devin | Canada | 2018–2019
Silfverberg, Jakob | Sweden | 2013–2019
Sillinger, Mike | Canada | 1994–1996
Simpson, Todd | Canada | 2003–2004
Skalde, Jarrod | Canada | 1993–1994
Skoula, Martin | Czech Republic | 2003–2004
Smirnov, Alexei | Russia | 2002–2004
Smith-Pelly, Devante | Canada | 2011–2015
Sorensen, Nick | Denmark | 2016–2017
Souray, Sheldon | Canada | 2012–2013
Sprong, Daniel | Netherlands | 2018–2019
St. Jacques, Bruno | Canada | 2005–2006
Staubitz, Brad | Canada | 2012–2013
Steckel, David | United States | 2012–2014
Steel, Sam | Canada | 2018–2019
Stevenson, Jeremy | United States | 1995–19981999–2000
Stewart, Chris | Canada | 2014–2016
Stoner, Clayton | Canada | 2014–2017
Street, Ben | Canada | 2018–2019
Sustr, Andrej | Czech Republic | 2018–2019
Sutherby, Brian | Canada | 2007–2009
Sutton, Andy | Canada | 2010–2011
Sweeney, Tim | United States | 1993–1995
Sykora, Petr | Czech Republic | 2002–2006
Syvret, Danny | Canada | 2010–2011
Tenkrat, Petr | Czech Republic | 2000–2002
Terry, Troy | United States | 2017–2019
Theodore, Shea | Canada | 2015–2017
Thomas, Steve | England | 2002–2003
Thompson, Nate | United States | 2014–2017
Thomson, Jim | Canada | 1993–1994
Thornton, Shawn | Canada | 2006–2007
Titov, German | Russia | 2000–2002
Todd, Kevin | Canada | 1996–1998
Traverse, Patrick | Canada | 2000–2001
Trebil, Dan | United States | 1996–1999
Trepanier, Pascal | Canada | 1998–2001
Trnka, Pavel | Czech Republic | 1997–2003
Tropp, Corey | United States | 2016–2017
Tsulygin, Nikolai | Russia | 1996–1997
Tuzzolino, Tony | United States | 1997–1998
Tverdovsky, Oleg | Ukraine | 1994–19961999–2002
Valicevic, Rob | United States | 2002–2003
Valk, Garry | Canada | 1993–1997
Van Allen, Shaun | Canada | 1993–1996
Van Impe, Darren | Canada | 1994–1998
Vatanen, Sami | Finland | 2012–2018
Vermette, Antoine | Canada | 2016–2018
Vishnevski, Vitaly | Russia | 1999–2006
Visnovsky, Lubomir | Slovakia | 2009–2012
Voros, Aaron | Canada | 2010–2011
Wagner, Chris | United States | 2014–2018
Ward, Aaron | Canada | 2009–2010
Ward, Ed | Canada | 1999–2000
Ward, Lance | Canada | 2002–2004
Weight, Doug | United States | 2007–2008
Whitney, Ryan | United States | 2008–2010
Welinski, Andy | United States | 2017–2019
Williams, David | United States | 1993–1995
Winchester, Brad | United States | 2010–2011
Winnik, Daniel | Canada | 2012–2014
Wirtanen, Petteri | Finland | 2007–2008
Wisniewski, James | United States | 2008–20102014–2015
Wren, Bob | Canada | 1997–19982000–2001
Wright, Tyler | Canada | 2005–2006
Yake, Terry | Canada | 1993–1994
Yonkman, Nolan | Canada | 2013–2014
York, Jason | Canada | 1994–19962001–2002
Young, Scott | United States | 1997–1998
Zolnierczyk, Harry | Canada | 2015–2016


Total Goaltenders: 31
Total Skaters: 361
