List of Dallas Stars players - Wikipedia
========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Grant Marshall | Canada | 1994—2001
Richard Matvichuk | Canada | 1993—2004
Alan May | Canada | 1993—1995
Randy McKay | Canada | 2001—2002
Curtis McKenzie | Canada | 2014—2018
Jim McKenzie | Canada | 1993—1994
Mark McNeill | Canada | 2016—2017
Mike McPhee | Canada | 1993—1994
Marc Methot | Canada | 2017—2019
Antti Miettinen | Finland | 2003—2008
Corey Millen | United States | 1994—1996
Jeff Mitchell | United States | 1997—1998
Willie Mitchell | Canada | 2005—2006
Mike Modano | United States | 1993—2010
Jaroslav Modry | Czech Republic | 2006—2007
Travis Moen | Canada | 2014—2016
Jim Montgomery | Canada | 2001—2003
Gavin Morgan | Canada | 2003—2004
Travis Morin | United States | 2011—2017
Brendan Morrison | Canada | 2008—2009
Brenden Morrow | Canada | 1999—2013
Chris Mueller | United States | 2013—2014
Kirk Muller | Canada | 1999—2003
Craig Muni | Canada | 1997—1998
Chris Murray | Canada | 1999—2000
Ladislav Nagy | Slovakia | 2006—2007
James Neal | Canada | 2008—2011
Mike Needham | Canada | 1993—1994
Patrik Nemeth | Sweden | 2013—2017
Valeri Nichushkin | Russia | 2013—20162018—2019
Joe Nieuwendyk | Canada | 1995—2002
Janne Niinimaa | Finland | 2005—2006
Matt Niskanen | United States | 2007—2011
Mattias Norstrom | Sweden | 2006—2008
Teppo Numminen | Finland | 2003—2004
Eric Nystrom | United States | 2011—2013
Lyle Odelein | Canada | 2002—2003
Johnny Oduya | Sweden | 2015—2017
Jamie Oleksiak | Canada | 2012—2019
David Oliver | Canada | 2002—2006
Steve Ott | Canada | 2002—2012
Adam Pardy | Canada | 2011—2012
Mark Parrish | United States | 2008—2009
Pavel Patera | Czech Republic | 1999—2000
Greg Pateryn | United States | 2016—2018
Scott Pellerin | Canada | 2001—2003
Nathan Perrott | Canada | 2005—2006
Warren Peters | Canada | 2009—2010
Toby Petersen | United States | 2007—2013
Robert Petrovicky | Slovakia | 1995—1996
Rich Peverley | Canada | 2013—2014
Tyler Pitlick | United States | 2017—2019
Derek Plante | United States | 1998—2000
Roman Polak | Czech Republic | 2018—2019
Vojtech Polak | Czech Republic | 2005—2007
Jamie Pushor | Canada | 1999—2000
Alexander Radulov | Russia | 2017—2019
Brendan Ranford | Canada | 2014—2016
Dave Reid | Canada | 1996—1999
Mike Ribeiro | Canada | 2006—2012
Brad Richards | Canada | 2007—2011
Travis Richards | United States | 1994—1996
Brett Ritchie | Canada | 2014—2019
Stephane Robidas | Canada | 2002—2014
Aaron Rome | Canada | 2012—2014
Antoine Roussel | France | 2012—2018
Derek Roy | Canada | 2012—2013
Martin Rucinsky | Czech Republic | 2001—2002
Kris Russell | Canada | 2015—2016
