List of Calgary Flames players - Wikipedia
==========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Pryakhin, Sergei | Russia | 1988–1991
Quine, Alan | Canada | 2018–2019
Quinn, Dan | Canada | 1983–1987
Racine, Yves | Canada | 1996–1997
Ramage, John | United States | 2014–2015
Ramage, Rob | Canada | 1987–1989
Ramholt, Tim | Canada | 2007–2008
Ranheim, Paul | United States | 1988–1994
Rautakallio, Pekka | Finland | 1980–1982
Raymond, Mason | Canada | 2014–2016
Regehr, Richie | Canada | 2005–2007
Regehr, Robyn | Canada | 1999–2011
Reichel, Robert | Czech Republic | 1990–1997
Reierson, Dave | Canada | 1988–1989
Reinhart, Max | Canada | 2012–2015
Reinhart, Paul | Canada | 1980–1988
Reinprecht, Steven | Canada | 2003–2006
Ribble Pat | Canada | 1981–1983
Rioux, Pierre | Canada | 1982–1983
Risebrough, Doug | Canada | 1982–1987
Ritchie, Byron | Canada | 2005–2007
Roberts, Gary | Canada | 1986–1996
Roche, Dave | Canada | 1998–2000
Roy, Andre | Canada | 2008–2009
Russell, Kris | Canada | 2013–2016
Russell, Phil | Canada | 1980–1983
Ryan, Derek | United States | 2018–2019
Rychel, Kerby | United States | 2018–2019
Sabourin, Ken | Canada | 1988–1991
Saprykin, Oleg | Russia | 1999–2004
Sarault, Yves | Canada | 1995–1996
Sarich, Cory | Canada | 2007–2013
Savard, Marc | Canada | 1999–2002
Schlegel, Brad | Canada | 1993–1994
Schlemko, David | Canada | 2014–2015
Schulte, Paxton | Canada | 1996–1997
Scoville, Darrel | Canada | 1999–2000
Setoguchi, Devin | Canada | 2014–2015
Shannon, Darryl | Canada | 1999–2000
Shantz, Jeff | Canada | 1998–2002
Sheehy, Neil | Canada | 1983–19881991–1992
Shinkaruk, Hunter | Canada | 2015–2017
Shore, Drew | United States | 2014–2016
Shore, Nick | United States | 2017–2018
Sieloff, Patrick | United States | 2015–2016
Simard, Martin | Canada | 1990–1992
Simon, Chris | Canada | 2003–2006
Simpson, Todd | Canada | 1995–1999
Sjostrom, Fredrik | Sweden | 2009–2010
Skalde, Jarrod | Canada | 1995–1996
Skrudland, Brian | Canada | 1992–1993
Sloan, Blake | United States | 2001–2003
Smid, Ladislav | Czech Republic | 2013–2017
Smith, Brad | Canada | 1980–1981
Smith, Derek | Canada | 2011–2015
Smith, Mark | Canada | 2007–2008
Staios, Steve | Canada | 2009–2011
Smith, Steve | Canada | 1998–2001
Smyth, Greg | Canada | 1991–1993
Sonnenberg, Martin | Canada | 2003–2004
Sorochan, Lee | Canada | 1998–2000
St. Louis, Martin | Canada | 1998–2000
Stajan, Matt | Canada | 2009–2018
Stempniak, Lee | United States | 2011–2014
Stern, Ron | Canada | 1990–1998
Stewart, Chris | Canada | 2017–2018
Stiles, Tony | Canada | 1983–1984
Stillman, Cory | Canada | 1994–2001
Stone, Michael | Canada | 2016–2019
Street, Ben | Canada | 2012–2014
Struch, David | Canada | 1993–1994
Stuart, Brad | Canada | 2006–2007
Sullivan, Mike | United States | 1993–1997
Sundblad, Niklas | Sweden | 1995–1996
Suter, Gary | United States | 1985–1994
Sutter, Brett | Canada | 2008–2011
Sutter, Ron | Canada | 2000–2001
Sweeney, Bob | United States | 1995–1996
Sweeney, Tim | United States | 1991–1992
Tambellini, Steve | Canada | 1983–1985
Tanguay, Alex | Canada | 2006–20082010–2013
Thompson, Rocky | Canada | 1997–1999
Titov, German | Russia | 1993–1998
Tkachuk, Matthew | United States | 2016–2019
Tkaczuk, Daniel | Canada | 2000–2001
Tonelli, John | Canada | 1985–1988
Torgayev, Pavel | Russia | 1995–2000
Turnbull, Randy | Canada | 1981–1982
Vail, Eric | Canada | 1980–1982
Valimaki, Juuso | Finland | 2018–2019
Van Brabant, Bryce | Canada | 2013–2016
Van der Gulik, David | Canada | 2008–2009
Vandermeer, Jim | Canada | 2007–2009
Varlamov, Sergei | Ukraine | 1997–19981999–2000
Versteeg, Kris | Canada | 2016–2018
Vey, Linden | Canada | 2016–2017
Viitakoski, Vesa | Finland | 1993–1996
Volcan, Mickey | Canada | 1983–1984
Walker, Howard | Canada | 1982–1983
Walz, Wes | Canada | 1993–1995
Wappel, Gord | Canada | 1980–1982
Ward, Ed | Canada | 1994–1999
Warrener, Rhett | Canada | 2003–2008
Werenka, Brad | Canada | 1999–2001
Westgarth, Kevin | Canada | 2013–2015
White, Ian | Canada | 2009–2011
Wideman, Dennis | Canada | 2012–2017
Wiemer, Jason | Canada | 1997–20012005–2006
Wilm, Clarke | Canada | 1998–2002
Wilson, Bert | Canada | 1980–1981
Wilson, Carey | Canada | 1983–19881990–1993
Wilson, Clay | Canada | 2011–2012
Wilson, Rik | United States | 1985–1986
Wolf, David | Germany | 2014–2015
Wortman, Kevin | United States | 1993–1994
Wotherspoon, Tyler | Canada | 2013–2017
Wright, Jamie | Canada | 2001–2003
Yawney, Trent | Canada | 1991–1996
Yelle, Stephane | Canada | 2002–2008
Young, C. J. | United States | 1992–1993
Zalapski, Zarley | Canada | 1993–1998
Zemlak, Richard | Canada | 1991–1992
Zyuzin, Andrei | Russia | 2006–2007


Total Goaltenders: 48
Total Skaters: 476
