List of Colorado Avalanche players - Wikipedia
==============================================
Goaltenders
___________
Name     |     Nat     |     Seasons
Nieminen, Ville | Finland | 1999–2002
Nieto, Matt | United States | 2016–2019
Nikolishin, Andrei | Russia | 2003–2004
Nolan, Owen | Canada | 1995–1996
Nycholat, Lawrence | Canada | 2008–2009
O'Brien, Shane | Canada | 2011–2013
O'Byrne, Ryan | Canada | 2010–2013
O'Connor, Logan | United States | 2018–2019
O'Neill, Wes | Canada | 2008–2010
O'Reilly, Ryan | Canada | 2009–2015
Obsut, Jaroslav | Slovakia | 2001–2002
Odgers, Jeff | Canada | 1997–2000
Olver, Mark | Canada | 2010–2013
Ozolinsh, Sandis | Latvia | 1995–2000
Palushaj, Aaron | United States | 2012–2013
Parenteau, P. A. | Canada | 2012–2014
Parker, Scott | United States | 1998–20032006–2008
Parros, George | United States | 2006–2007
Paul, Jeff | Canada | 2002–2003
Peltier, Derek | United States | 2008–2010
Podein, Shjon | United States | 1998–2002
Porter, Kevin | United States | 2009–2012
Pratt, Nolan | Canada | 2000–2001
Preissing, Tom | United States | 2009–2010
Prpic, Joel | Canada | 2000–2001
Quincey, Kyle | Canada | 2009–2012
Rantanen, Mikko | Finland | 2015–2019
Redmond, Zach | Canada | 2014–2016
Reid, Dave | Canada | 1999–2001
Reinprecht, Steven | Canada | 2000–2003
Rendulic, Borna | Croatia | 2014–2016
Ricci, Mike | Canada | 1995–1998
Richardson, Brad | Canada | 2005–2008
Rolston, Brian | United States | 1999–2000
Rucinsky, Martin | Czech Republic | 1995–1996
Russell, Cam | Canada | 1998–1999
Rychel, Warren | Canada | 1995–19961997–1999
Rycroft, Mark | Canada | 2006–2007
Sakic, Joe | Canada | 1995–2009
Salei, Ruslan | Belarus | 2007–2010
Sarault, Yves | Canada | 1996–1998
Sarich, Cory | Canada | 2013–2014
Sauer, Kurt | United States | 2003–2008
Selanne, Teemu | Finland | 2003–2004
Severyn, Brent | Canada | 1996–1997
Sgarbossa, Michael | Canada | 2012–2015
Shantz, Jeff | Canada | 2002–2003
Shattenkirk, Kevin | United States | 2010–2011
Shearer, Rob | Canada | 2000–2001
Siemens, Duncan | Canada | 2014–2018
Simon, Chris | Canada | 1995–1996
Skille, Jack | United States | 2015–2016
Skoula, Martin | Czech Republic | 1999–2004
Skrastins, Karlis | Latvia | 2003–2008
Slaney, John | Canada | 1995–1996
Smith, Ben | United States | 2016–2017
Smith, Colin | Canada | 2014–2015
Smith, Dan | Canada | 1998–2000
Smith, D. J. | Canada | 2002–2003
Smith, Wyatt | United States | 2007–2008
Smyth, Ryan | Canada | 2007–2009
Söderberg, Carl | Sweden | 2015–2019
Stastny, Paul | United States | 2006–2014
Stephens, Charlie | Canada | 2002–2004
Stewart, Chris | Canada | 2008–2011
Stoa, Ryan | United States | 2009–2011
Stollery, Karl | Canada | 2013–2015
Street, Ben | Canada | 2014–2016
Stuart, Brad | Canada | 2014–2016
Svatos, Marek | Slovakia | 2003–2010
Talbot, Maxime | Canada | 2013–2015
Tanguay, Alex | Canada | 1999–20062013–2016
Tjarnqvist, Daniel | Sweden | 2008–2009
Toninato, Dominic | United States | 2017–2019
Trepanier, Pascal | Canada | 1997–19982001–2002
Tucker, Darcy | Canada | 2008–2010
Turgeon, Pierre | Canada | 2005–2007
Tyutin, Fedor | Russia | 2016–2017
Vaananen, Ossi | Finland | 2003–2007
Van der Gulik, David | Canada | 2010–2014
Vernace, Michael | Canada | 2008–2009
Vincour, Tomas | Czech Republic | 2012–20132014–2015
Vrbata, Radim | Czech Republic | 2001–2003
Wagner, Chris | United States | 2015–2016
Warsofsky, David | United States | 2017–2018
White, Brian | United States | 1998–1999
Wiercioch, Patrick | Canada | 2016–2017
Willsie, Brian | Canada | 1999–20032008–2010
Wilson, Colin | United States | 2017–2019
Wilson, Landon | United States | 1995–1997
Wilson, Ryan | Canada | 2009–2015
Winnik, Daniel | Canada | 2010–2012
Wolanin, Craig | United States | 1995–1996
Wolski, Wojtek | Poland | 2005–2010
Worrell, Peter | Canada | 2003–2004
Yakupov, Nail | Russia | 2017–2018
Yelle, Stephane | Canada | 1995–20022009–2010
Yip, Brandon | Canada | 2009–2012
Young, Scott | United States | 1995–1997
Zadorov, Nikita | Russia | 2015–2019
Zanon, Greg | Canada | 2012–2013


Total Goaltenders: 27
Total Skaters: 280
