List of Washington Capitals players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nat.     |     Seasons
Nelson, Todd | None | 1993–1994
Ness, Aaron | None | 2015–2018
Nicholson, Paul | None | 1974–1977
Nikolishin, Andrei | None | 1996–2002
Niskanen, Matt | None | 2014–Present
Noel, Claude | None | 1979–1980
Norton, Brad | None | 2003–2004
Norwood, Lee | None | 1981–1983
Novotny, Jiri | None | 2006–2007
Novy, Milan | None | 1982–1983
Nycholat, Lawrence | None | 2006–2007
Nylander, Michael | None | 2002–20042007–2009
Oates, Adam | None | 1996–2002
O'Brien, Liam | None | 2016–2018
Oleksy, Steve | None | 2012–2015
Orlov, Dmitry | None | 2011–present
Orpik, Brooks | None | 2014–present
Osala, Oskar | None | 2008–2009
Oshie, T. J. | None | 2015–present
Ovechkin, Alexander | None | 2005–present
Paddock, John | None | 1975–1976
Paradise, Bob | None | 1975–1977
Patey, Doug | None | 1976–1979
Patrick, Craig | None | 1976–1979
Paynter, Kent | None | 1989–1991
Peake, Pat | None | 1993–1998
Pearson, Rob | None | 1994–1995
Peat, Stephen | None | 2001–20042005–2006
Peloffy, Andre | None | 1974–1975
Peluso, Anthony | None | 2017–2018
Penner, Dustin | None | 2013–2014
Perreault, Mathieu | None | 2009–2013
Pettersson, Jorgen | None | 1985–1986
Pettinger, Matt | None | 2000–2008
Picard, Robert | None | 1977–1980
Pivonka, Michal | None | 1986–1999
Poapst, Steve | None | 1995–19961998–1999
Pocza, Harvie | None | 1979–19801981–1982
Podkonicky, Andrej | None | 2003–2004
Polis, Greg | None | 1978–1980
Pothier, Brian | None | 2006–2010
Poti, Tom | None | 2007–2013
Poulin, Dave | None | 1993–1995
Pronovost, Jean | None | 1980–1982
Purves, John | None | 1990–1991
Pyatt, Nelson | None | 1974–1976
Quenneville, Joel | None | 1990–1991
Rausse, Errol | None | 1979–1982
Rechlicz, Joel | None | 2011–2012
Reekie, Joe | None | 1993–2002
Ribble, Pat | None | 1979–1982
Ribeiro, Mike | None | 2012–2013
Richard, Mike | None | 1987–19881989–1990
Richards, Mike | None | 2015–2016
Ridley, Mike | None | 1986–1994
Riley, Bill | None | 1974–19751976–1979
Rissling, Gary | None | 1978–1980
Robertson, Torrie | None | 1980–1983
Robitaille, Louis | None | 2005–2006
Rohloff, Todd | None | 2001–20022003–2004
Rouse, Bob | None | 1988–1991
Rowe, Tom | None | 1976–19801981–1982
Sabourin, Ken | None | 1990–1992
Sacco, Joe | None | 1999–2002
Salomonsson, Andreas | None | 2002–2003
Sampson, Gary | None | 1983–1987
Sanford, Zach | None | 2016–2017
Savage, Reggie | None | 1990–19911992–1993
Scamurra, Peter | None | 1975–19771978–1980
Schilling, Cameron | None | 2012–2015
Schlegel, Brad | None | 1991–1993
Schmidt, Nate | None | 2013–2017
Schofield, Dwight | None | 1985–1986
Schultz, Jeff | None | 2006–2013
Seftel, Steve | None | 1990–1991
Seiling, Rod | None | 1974–1975
Self, Steve | None | 1976–1977
Semin, Alexander | None | 2003–20042006–2012
Shand, David | None | 1983–1985
