List of Los Angeles Kings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Bob Laforest | Canada | 1983—1984
Tom Laidlaw | Canada | 1986—1990
Brooks Laich | Canada | 2017—2018
Robert Lang | Czech Republic | 1992—1996
Dave Langevin | United States | 1986—1987
Ian Laperriere | Canada | 1995—2004
Rick Lapointe | Canada | 1984—1986
Denis Larocque | Canada | 1987—1988
Steve Larouche | Canada | 1995—1996
Craig Laughlin | Canada | 1987—1988
Kevin LaVallee | Canada | 1983—1984
Eric Lavigne | Canada | 1994—1995
Dominic Lavoie | Canada | 1993—1994
Vincent Lecavalier | Canada | 2015—2016
Grant Ledyard | Canada | 1985—1988
Brendan Leipsic | Canada | 2018—2019
Jacques Lemieux | Canada | 1967—1970
Real Lemieux | Canada | 1967—1974
Bill Lesuk | Canada | 1971—1974
Guy Leveque | Canada | 1992—1994
Dave Lewis | Canada | 1979—1983
Trevor Lewis | United States | 2009—2019
Igor Liba | Slovakia | 1988—1989
Andreas Lilja | Sweden | 2000—2003
Mikael Lindholm | Sweden | 1989—1990
Blake Lizotte | United States | 2018—2019
Lonnie Loach | Canada | 1992—1993
Bob Logan | Canada | 1988—1989
Andrei Loktionov | Russia | 2009—2012
Barry Long | Canada | 1972—1974
Ross Lonsberry | Canada | 1969—1972
Don Luce | Canada | 1980—1981
Milan Lucic | Canada | 2015—2016
Matt Luff | Canada | 2018—2019
Morris Lukowich | Canada | 1985—1987
Jamie Lundmark | Canada | 2006—2007
Kurtis MacDermid | Canada | 2017—2019
Lowell MacDonald | Canada | 1967—1969
Donald MacLean | Canada | 1997—1998
Brian MacLellan | Canada | 1982—1986
Adam Mair | Canada | 2000—2002
Mikko Makela | Finland | 1989—1990
Dan Maloney | Canada | 1972—1975
Randy Manery | Canada | 1977—1980
Chris Marinucci | United States | 1996—1997
Gilles Marotte | Canada | 1969—1974
Mike Marson | Canada | 1979—1980
Rick Martin | Canada | 1980—1982
Alec Martinez | United States | 2009—2019
Chris McAlpine | United States | 2002—2003
Jamie McBain | United States | 2014—2016
Wayne McBean | Canada | 1987—1989
Brayden McNabb | Canada | 2014—2017
Alyn McCauley | Canada | 2006—2007
Shawn McCosh | Canada | 1991—1992
Al McDonough | Canada | 1970—1972
Hubie McDonough | United States | 1988—1990
Shawn McEachern | United States | 1993—1994
Mike McEwen | Canada | 1983—1984
John McIntyre | Canada | 1990—1993
Sean McKenna | Canada | 1985—1988
Steve McKenna | Canada | 1996—2000
Brian McReynolds | Canada | 1993—1994
Marty McSorley | Canada | 1988—1996
Howie Menard | Canada | 1967—1969
Michael Mersch | United States | 2015—2016
Larry Mickey | Canada | 1970—1971
Bill Mikkelson | Canada | 1971—1972
Corey Millen | United States | 1991—1993
Aaron Miller | United States | 2000—2007
Bob Miller | United States | 1984—1985
Jay Miller | United States | 1988—1992
Torrey Mitchell | Canada | 2017—2018
Willie Mitchell | Canada | 2010–20122013-2014
Fredrik Modin | Sweden | 2009—2010
Jaroslav Modry | Czech Republic | 1995—19971998—20042006—2008
Sandy Moger | Canada | 1997—1999
Carl Mokosak | Canada | 1984—1985
Oscar Moller | Sweden | 2008—2010
Garry Monahan | Canada | 1969—1970
Hartland Monahan | Canada | 1977—1978
Bob Mongrain | Canada | 1985—1986
Ethan Moreau | Canada | 2011—2012
Jason Morgan | Canada | 1996—1998
Dave Morrison | Canada | 1980—1983
Matt Moulson | Canada | 2007—2009
Jim Moxey | Canada | 1976—1977
Bryan Muir | Canada | 2003—2004
Richard Mulhern | Canada | 1978—1980
Paul Mulvey | Canada | 1981—1982
Bob Murdoch | Canada | 1973—1979
Larry Murphy | Canada | 1980—1984
Mike Murphy | Canada | 1973—1983
Rob Murphy | Canada | 1993—1994
Brady Murray | United States | 2007—2008
Glen Murray | Canada | 1996—2002
Jim Murray | Canada | 1967—1968
Marty Murray | Canada | 2006—2007
Jake Muzzin | Canada | 2010–2019
Ladislav Nagy | Slovakia | 2007—2008
Victor Nechayev | Russia | 1982—1983
Jan Nemecek | Czech Republic | 1998—2000
Bob Nevin | Canada | 1973—1976
Bernie Nicholls | Canada | 1981—1990
Jordan Nolan | Canada | 2011—2017
Mattias Norstrom | Sweden | 1995—2007
Brad Norton | United States | 2002—2004
Kai Nurminen | Finland | 1996—1997
Sean O'Donnell | Canada | 1994—20002008—2010
Billy O'Dwyer | United States | 1983—1985
Patrick O'Sullivan | United States | 2006—2009
Ed Olczyk | United States | 1996—1997
Jim Paek | Canada | 1993—1994
Zigmund Palffy | Slovakia | 1999—2004
Rob Palmer | Canada | 1977—1982
Mark Parrish | United States | 2005—2006
George Parros | United States | 2005—2006
Scott Parse | United States | 2009—2012
Dave Pasin | Canada | 1988—1989
Joe Paterson | Canada | 1985—1988
Tanner Pearson | Canada | 2012—2019
Dustin Penner | Canada | 2010–2013
Yanic Perreault | Canada | 1994—1999
Jimmy Peters, Jr. | Canada | 1968—1975
Richard Petiot | Canada | 2005—2006
Michel Petit | Canada | 1994—1996
Lyle Phair | Canada | 1985—1988
Dion Phaneuf | Canada | 2017—2019
Esa Pirnes | Finland | 2003—2004
Joe Piskula | United States | 2006—2007
Larry Playfair | Canada | 1985—1989
Jason Podollan | Canada | 1998—2000
Alexei Ponikarovsky | Ukraine | 2010–2011
Poul Popiel | Denmark | 1967—1968
Barry Potomski | Canada | 1995—1997
Jean Potvin | Canada | 1970—1972
Marc Potvin | Canada | 1992—1994
Petr Prajsler | Czech Republic | 1987—1990
Tom Preissing | United States | 2007—2009
Noel Price | Canada | 1970—1971
Sean Pronger | Canada | 1998—1999
Bob Pulford | Canada | 1970—1972
Teddy Purcell | Canada | 2007—20102016—2017
Konstantin Pushkarev | Kazakhstan | 2005—2007
Kyle Quincey | Canada | 2008—2009
Dan Quinn | Canada | 1994—1995
Erik Rasmussen | United States | 2002—2003
Matt Ravlich | Canada | 1969—1971
Craig Redmond | Canada | 1984—1988
Keith Redmond | Canada | 1993—1994
Robyn Regehr | Canada | 2012—2015
Steven Reinprecht | Canada | 1999—2001
Sheldon Rempal | Canada | 2018—2019
Mike Richards | Canada | 2011—2015
Brad Richardson | Canada | 2008—2013
Steve Richmond | United States | 1988—1989
Tobias Rieder | Germany | 2017—2018
Doug Robinson | Canada | 1967—1971
Larry Robinson | Canada | 1989—1992
Luc Robitaille | Canada | 1986—19941997—20012003—2006
Randy Robitaille | Canada | 2001—2002
Leon Rochefort | Canada | 1969—1970
Jeremy Roenick | United States | 2005—2006
Dale Rolfe | Canada | 1967—1970
Cliff Ronning | Canada | 2001—2002
Pavel Rosa | Czech Republic | 1998—2004
Randy Rota | Canada | 1973—1974
Matt Roy | United States | 2018—2019
Terry Ruskowski | Canada | 1982—1985
Matt Ryan | Canada | 2005—2006
Warren Rychel | Canada | 1992—1995
Tomas Sandstrom | Sweden | 1989—1994
Gary Sargent | United States | 1975—1978
Kevin Schamehorn | Canada | 1980—1981
Brayden Schenn | Canada | 2009—2011
Luke Schenn | Canada | 2015—2016
Nikita Scherbak | Russia | 2018—2019
Chris Schmidt | Canada | 2002—2003
Mathieu Schneider | United States | 2000—2003
Dave Schultz | Canada | 1976—1978
Jeff Schultz | Canada | 2013—2016
Howard Scruton | Canada | 1982—1983
Rob Scuderi | United States | 2009—20132015—2016
Brandon Segal | Canada | 2009—2010
Steve Seguin | Canada | 1984—1985
Andrej Sekera | Slovakia | 2014—2015
Brad Selwood | Canada | 1979—1980
Brandy Semchuk | Canada | 1992—1993
Devin Setoguchi | Canada | 2016—2017
Eddie Shack | Canada | 1969—1971
Bobby Sheehan | United States | 1981—1982
Jeff Shevalier | Canada | 1994—1997
Nick Shore | United States | 2014—2018
Steve Short | United States | 1977—1978
Gary Shuchuk | Canada | 1992—1996
Steve Shutt | Canada | 1984—1985
Jon Sim | Canada | 2002—2004
Charlie Simmer | Canada | 1977—1985
Wayne Simmonds | Canada | 2008—2011
Al Sims | Canada | 1981—1983
Ilkka Sinisalo | Finland | 1990—1992
John Slaney | Canada | 1995—1997
Brian Smith | Canada | 1967—1968
Dennis Smith | United States | 1990—1991
Doug Smith | Canada | 1981—1986
Jerred Smithson | Canada | 2002—2004
Bryan Smolinski | United States | 1999—2003
Brad Smyth | Canada | 1996—1998
Ryan Smyth | Canada | 2009—2011
Chris Snell | Canada | 1994—1995
Brent Sopel | Canada | 2005—2006
Andre St. Laurent | Canada | 1979—1982
Frank St. Marseille | Canada | 1972—1977
Lorne Stamler | Canada | 1976—1978
Jim Stanfield | Canada | 1969—1972
Pete Stemkowski | Canada | 1977—1978
Shay Stephenson | Canada | 2006—2007
Kevin Stevens | Canada | 1995—1997
Jarret Stoll | Canada | 2008—2015
Martin Straka | Czech Republic | 2003—2004
Martin Strbak | Slovakia | 2003—2004
Brad Stuart | Canada | 2007—2008
Jozef Stumpel | Slovakia | 1997—2004
Marco Sturm | Germany | 2010—2011
Darryl Sydor | Canada | 1991—1996
Phil Sykes | Canada | 1982—1989
Jeff Tambellini | Canada | 2005—2006
Patrice Tardif | Canada | 1995—1996
Dave Taylor | Canada | 1977—1994
Greg Terrion | Canada | 1980—1982
Scott Thomas | United States | 2000—2001
Dave Thomlinson | Canada | 1993—1995
Brent Thompson | Canada | 1991—1994
Nate Thompson | United States | 2017—2019
Jim Thomson | Canada | 1990—1993
Scott Thornton | Canada | 2006—2008
Rick Tocchet | Canada | 1994—1996
Kevin Todd | Canada | 1993—1996
Tyler Toffoli | Canada | 2012—2019
John Tonelli | Canada | 1988—1991
Tim Tookey | Canada | 1987—1989
Brock Tredway | Canada | 1981—1982
John Tripp | Germany | 2003—2004
Denis Tsygurov | Russia | 1994—1996
Vladimir Tsyplakov | Belarus | 1995—2000
Al Tuer | Canada | 1985—1986
Lauri Tukonen | Finland | 2006—2008
Marko Tuomainen | Finland | 1999—2001
Ian Turnbull | Canada | 1981—1982
Dean Turner | United States | 1982—1983
Oleg Tverdovsky | Russia | 2006—2007
Garry Unger | Canada | 1980—1981
David Van der Gulik | Canada | 2014—2015
Rob Valicevic | United States | 2001—2002
Vic Venasky | Canada | 1972—1979
Kris Versteeg | Canada | 2015—2016
Linden Vey | Canada | 2013-2014
Mark Visheau | Canada | 1998—1999
Lubomir Visnovsky | Slovakia | 2000—2008
Tomas Vlasak | Czech Republic | 2000—2001
Doug Volmar | United States | 1972—1973
Jan Vopat | Czech Republic | 1995—1998
Roman Vopat | Czech Republic | 1996—1999
Slava Voynov | Russia | 2011—2015
Don Waddell | United States | 1980—1981
Austin Wagner | Canada | 2018—2019
Gordie Walker | Canada | 1988—1990
Russ Walker | Canada | 1976—1978
Sean Walker | Canada | 2018—2019
Bob Wall | Canada | 1967—1970
Dixon Ward | Canada | 1993—1994
Jason Ward | Canada | 2006—2007
Tim Watters | Canada | 1988—1995
Jordan Weal | Canada | 2015—2016
Mike Weaver | Canada | 2005—2007
Jay Wells | Canada | 1979—1988
Kevin Westgarth | Canada | 2008—2012
Bill White | Canada | 1967—1970
Sean Whyte | Canada | 1991—1993
Juha Widing | Sweden | 1969—1977
Jim Wiemer | Canada | 1988—1989
Brian Wilks | Canada | 1984—1989
