List of San Jose Sharks players - Wikipedia
===========================================
Goaltenders
___________
Name     |     Nationality     |     GP
Ian White |  Canada | 2010–2011
Ray Whitney |  Canada | 1991–1997
Jason Widmer |  Canada | 1996–1997
Neil Wilkinson |  Canada | 1991–1993
David Williams |  United States | 1991–1993
Doug Wilson |  Canada | 1991–1993
Brad Winchester |  United States | 2011–2012
Tommy Wingels |  United States | 2010–2017
Daniel Winnik |  Canada | 2011–2012
Chad Wiseman |  Canada | 2002–2003
Dody Wood |  Canada | 1992–1998
Alexei Yegorov |  Russia | 1995–1997
Miroslav Zalesak |  Slovakia | 2002–2004
Steven Zalewski |  United States | 2009–2010
Rob Zettler |  Canada | 1991–1994
Doug Zmolek |  United States | 1992–1994
Dainius Zubrus |  Lithuania | 2015–2016
Andrei Zyuzin |  Russia | 1997–1999


Total Goaltenders: 28
Total Skaters: 301
