List of New Jersey Devils players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nat     |     Seasons
Lorimer, Bob | None | 1982–1986
Lovejoy, Ben | None | 2016–2019
Ludvig, Jan | None | 1982–1987
Lukowich, Brad | None | 2005–2007
MacLean, John | None | 1983–1998
MacMillan, Bob | None | 1982–1984
Madden, John | None | 1998–2009
Madill, Jeff | None | 1990–1991
Magnan, Olivier | None | 2010–2011
Mair, Adam | None | 2010–2011
Malakhov, Vladimir | None | 1999–20002005–2006
Maley, David | None | 1987–1992
Malinowski, Merlin | None | 1982–1983
Malmivaara, Olli | None | 2007–2008
Mallette, Troy | None | 1991–1993
Marcinyshyn, Dave | None | 1990–1991
Marini, Hector | None | 1982–1984
Mark, Gord | None | 1986–1988
Maroon, Patrick | None | 2017–2018
Marshall, Grant | None | 2002–2006
Martin, Paul | None | 2003–2010
Matteau, Stefan | None | 2012–2016
Matvichuk, Richard | None | 2005–2007
Maxwell, Kevin | None | 1983–1984
McAdam, Gary | None | 1983–1985
McAlpine, Chris | None | 1994–1995
McAmmond, Dean | None | 2009–2010
McGillis, Dan | None | 2005–2006
McKay, Randy | None | 1991–2002
McKenzie, Jim | None | 2000–2003
McLeod, Michael | None | 2018–2019
McNab, Peter | None | 1985–1987
McPhee, George | None | 1987–1989
Meagher, Rick | None | 1982–1985
Merkosky, Glenn | None | 1982–1984
Merrill, Jon | None | 2013–2017
Millen, Corey | None | 1993–1995
Miller, Jason | None | 1990–1993
Mills, Bradley | None | 2010–2012
Mitchell, Willie | None | 1999–2001
Modry, Jaroslav | None | 1993–1995
Mogilny, Alexander | None | 1999–20012005–2006
Moher, Mike | None | 1982–1983
Moore, John | None | 2015–2018
Morris, Jon | None | 1988–1993
Morrison, Brendan | None | 1997–2000
Mottau, Mike | None | 2007–2011
Mozik, Vojtech | None | 2015–2016
Mueller, Mirco | None | 2017–2019
Muir, Bryan | None | 1998–1999
Muller, Kirk | None | 1984–1991
Mulvey, Grant | None | 1983–1984
Murphy, Cory | None | 2009–2010
Murphy, Ryan | None | 2018–2019
Nemchinov, Sergei | None | 1998–2002
Nicholls, Bernie | None | 1992–1994
Niedermayer, Rob | None | 2009–2010
Niedermayer, Scott | None | 1991–2004
Nieuwendyk, Joe | None | 2001–2003
Noesen, Stefan | None | 2016–2019
Norwood, Lee | None | 1990–1991
O'Brien, Jim | None | 2015–2016
O'Callahan, Jack | None | 1987–1989
O'Connor, Myles | None | 1990–1993
O'Donnell, Sean | None | 2000–2001
O'Neill, Brian | None | 2015–2016
Odelein, Lyle | None | 1996–2000
Oduya, Johnny | None | 2006–2010
Ojanen, Janne | None | 1988–1993
Olesz, Rostislav | None | 2013–2014
Oliwa, Kryzysztof | None | 1996–20002005–2006
Palmer, Rob | None | 1982–1984
Palmieri, Kyle | None | 2015–2019
Palmieri, Nick | None | 2009–2012
Pandolfo, Jay | None | 1996–2010
Parise, Zach | None | 2005–2012
Parenteau, P.A. | None | 2016–2017
Pederson, Denis | None | 1995–2000
Pellerin, Scott | None | 1992–1996
Pelley, Rod | None | 2006–2012
Peluso, Mike | None | 1993–1997
Persson, Ricard | None | 1995–1997
Peters, Andrew | None | 2009–2010
Pichette, Dave | None | 1984–1986
Pierce, Randy | None | 1982–1983
Pietila, Blake | None | 2015–2019
Pihlman, Tuomas | None | 2003–2007
Pikkarainen, Ilkka | None | 2009–2010
Poddubny, Walt | None | 1982–1992
Ponikarovsky, Alexei | None | 2011–2013
Porvari, Jukka | None | 1982–1983
Preston, Rich | None | 1984–1986
Prout, Dalton | None | 2016–2018
Quenneville, Joel | None | 1982–1983
Quenneville, John | None | 2016–2019
Quincy, Kyle | None | 2016–2017
Quint, Deron | None | 1999–2000
Rachunek, Karel | None | 2007–2008
Rafalski, Brian | None | 1997–2007
Rasmussen, Erik | None | 2003–2007
Rheaume, Pascal | None | 1996–19972002–2003
Richer, Stephane | None | 1991–19962001–2002
Richmond, Steve | None | 1986–1987
Rolston, Brian | None | 1994–20002008–2011
Rooney, Kevin | None | 2016–2019
Rooney, Steve | None | 1988–1989
Ruotsalainen, Reijo | None | 1989–1990
Rupp, Michael | None | 2002–20042006–2009
Russell, Phil | None | 1983–1986
Ruutu, Tuomo | None | 2013–2016
Ryder, Michael | None | 2013–2015
Ryznar, Jason | None | 2005–2006
Salmela, Anssi | None | 2008–2011
Salomonsson, Andreas | None | 2001–2002
Salvador, Bryce | None | 2007–2015
Santini, Steven | None | 2015–2019
Schlemko, David | None | 2015–2016
Semak, Alexander | None | 1991–1995
Seney, Brett | None | 2018–2019
Sestito, Tim | None | 2009–2015
Severson, Damon | None | 2014–2019
Shanahan, Brendan | None | 1987–19912008–2009
Sharifijanov, Vadim | None | 1996–2000
Simpson, Reid | None | 1994–1998
Sislo, Mike | None | 2013–2016
Skalde, Jarrod | None | 1990–1993
Skoula, Martin | None | 2009–2010
Skrlac, Rob | None | 2003–2004
Smehlik, Richard | None | 2002–2003
Smith, Jason | None | 1993–1997
Smith-Pelly, Devante | None | 2015–2017
Souray, Sheldon | None | 1997–2000
Speers, Blake | None | 2016–2017
Stafford, Drew | None | 2017–2019
Starikov, Sergei | None | 1989–1990
Stastny, Peter | None | 1989–1993
Steckel, Dave | None | 2010–2011
Stempniak, Lee | None | 2015–2016
Stevens, Scott | None | 1991–2004
Stevenson, Turner | None | 2000–2004
Stewart, Alan | None | 1985–1992
Stollery, Karl | None | 2016–2017
Suglobov, Aleksander | None | 2003–2006
Sulliman, Doug | None | 1984–1988
Sullivan, Brian | None | 1992–1993
Sullivan, Steve | None | 1995–19972012–2013
Sundstrom, Patrik | None | 1987–1992
Sundstrom, Peter | None | 1989–1990
Sutton, Ken | None | 1997–2001
Sykora, Petr | None | 1995–20022011–2012
Tallackson, Barry | None | 2005–2009
Tallinder, Henrik | None | 2010–2013
Tambellini, Steve | None | 1982–1983
Tangradi, Eric | None | 2018–2019
Taormina, Matt | None | 2010–2012
Tedenby, Mattias | None | 2010–2014
