List of Philadelphia Flyers players - Wikipedia
===============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Darryl Sittler |  Canada | 3
Jarrod Skalde |  Canada | 1
Wade Skolney |  Canada | 1
John Slaney |  Canada | 2
David Sloane |  United States | 1
Derrick Smith |  Canada | 7
Jason Smith |  Canada | 1
Steve Smith |  Canada | 5
Greg Smyth |  Canada | 2
Dave Snuggerud |  United States | 1
Radovan Somik |  Slovakia | 2
Bruno St. Jacques |  Canada | 2
Myron Stankiewicz |  Canada | 1
Allan Stanley |  Canada | 1
Daryl Stanley |  Canada | 3
John Stevens |  Canada | 2
Kevin Stevens |  United States | 1
Turner Stevenson |  Canada | 1
P. J. Stock |  Canada | 1
Mike Stothers |  Canada | 4
Petr Straka |  Czech Republic | 1
Art Stratton |  Canada | 1
Mark Streit |   Switzerland | 4
Doug Sulliman |  Canada | 2
Bill Sutherland |  Canada | 4
Rich Sutter |  Canada | 3
Ron Sutter |  Canada | 9
Mark Suzor |  Canada | 1
Petr Svoboda |  Czech Republic | 5
George Swarbrick |  Canada | 1
Michal Sykora |  Czech Republic | 1
Danny Syvret |  Canada | 3
Maxime Talbot |  Canada | 3
Mark Taylor |  Canada | 3
Dmitri Tertyshny |  Russia | 1
Chris Therien |  Canada | 11
Patrick Thoresen |  Norway | 1
Billy Tibbetts |  United States | 1
Brad Tiley |  Canada | 1
Mattias Timander |  Sweden | 1
Jussi Timonen |  Finland | 1
Kimmo Timonen |  Finland | 7
Dave Tippett |  Canada | 1
Rick Tocchet |  Canada | 11
Ole-Kristian Tollefsen |  Norway | 1
Denis Tolpeko |  Russia | 1
Tim Tookey |  Canada | 1
R. J. Umberger |  United States | 5
Scottie Upshall |  Canada | 3
Ossi Vaananen |  Finland | 1
Ed Van Impe |  Canada | 9
James van Riemsdyk |  United States | 4
Jim Vandermeer |  Canada | 3
Chris VandeVelde |  United States | 4
Phil Varone |  Canada | 1
Mike Vecchione |  United States | 1
Kris Versteeg |  Canada | 1
Dennis Ververgaert |  Canada | 2
Claude Vilgrain |  Canada | 1
Roman Vopat |  Czech Republic | 1
Jakub Voracek |  Czech Republic | 8
Mikhail Vorobyev |  Russia | 1
Matt Walker |  Canada | 2
Wes Walz |  Canada | 1
Todd Warriner |  Canada | 1
Steve Washburn |  Canada | 2
Jimmy Watson |  Canada | 10
Joe Watson |  Canada | 11
Jordan Weal |  Canada | 4
Eric Weinrich |  United States | 3
Dale Weise |  Canada | 3
Jay Wells |  Canada | 2
Eric Wellwood |  Canada | 3
Brian Wesenberg |  Canada | 1
Blake Wesley |  Canada | 2
Peter White |  Canada | 4
Ryan White |  Canada | 2
Todd White |  Canada | 1
Bob Wilkie |  Canada | 1
Gord Williams |  Canada | 2
Justin Williams |  Canada | 4
Behn Wilson |  Canada | 5
Chris Winnes |  United States | 1
Jamie Wright |  Canada | 1
Keith Wright |  Canada | 1
Larry Wright |  Canada | 3
Mike York |  United States | 1
Tim Young |  Canada | 1
Dmitri Yushkevich |  Russia | 4
Zarley Zalapski |  Canada | 1
Larry Zeidel |  Canada | 2
Valeri Zelepukin |  Russia | 2
Jason Zent |  United States | 1
Rob Zettler |  Canada | 2
Peter Zezel |  Canada | 5
Alexei Zhamnov |  Russia | 1
Nikolay Zherdev |  Russia | 1
Alexei Zhitnik |  Russia | 1
Harry Zolnierczyk |  Canada | 2
Dainius Zubrus |  Lithuania | 3


Total Goaltenders: 60
Total Skaters: 562
