List of New York Islanders players - Wikipedia
==============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Andy Hilbert | United States | 2006—2009
Sean Hill | United States | 2006—2007
Jack Hillen | United States | 2007—2011
Randy Hillier | Canada | 1991—1992
Benoit Hogue | Canada | 1991—1995
Jason Holland | Canada | 1996—1998
Mike Hordy | Canada | 1978—1980
Doug Houda | Canada | 1996—1998
Joshua Ho-Sang | Canada | 2016—Present
Mike Hough | Canada | 1997—1999
Garry Howatt | Canada | 1972—1981
Scott Howson | Canada | 1984—1986
Tony Hrkac | Canada | 1999—2000
Dave Hudson | Canada | 1972—1974
Brent Hughes | Canada | 1996—1997
Trent Hunter | Canada | 2002—2011
Mike Iggulden | Canada | 2008—2009
Brad Isbister | Canada | 1999—2003
Tim Jackman | United States | 2007—2010
Dane Jackson | Canada | 1997—1998
Craig Janney | United States | 1998—1999
Mark Janssens | Canada | 1997—1998
Cole Jarrett | Canada | 2005—2006
Jesse Joensuu | Finland | 2008—2013
Glenn Johannesen | Canada | 1985—1986
Andreas Johansson | Sweden | 1995—1997
Aaron Johnson | Canada | 2007—2008
Randy Johnston | Canada | 1979—1980
Ross Johnston | Canada | 2015—Present
Olli Jokinen | Finland | 1999—2000
Jorgen Jonsson | Sweden | 1999—2000
Kenny Jonsson | Sweden | 1995—2004
Tomas Jonsson | Sweden | 1981—1989
Steve Junker | Canada | 1993—1994
Milan Jurcina | Slovakia | 2010—2012
Anders Kallur | Sweden | 1979—1985
Yan Kaminsky | Russia | 1993—1995
Alexander Karpovtsev | Russia | 2003—2004
Darius Kasparaitis | Lithuania | 1992—1997
Mike Kaszycki | Canada | 1977—1980
Mark Katic | Canada | 2010—2011
Bracken Kearns | Canada | 2015—2017
Matt Keith | Canada | 2007—2008
Mike Kennedy | Canada | 1998—1999
Tyler Kennedy | Canada | 2014—2015
Alan Kerr | Canada | 1984—1991
Alexander Kharitonov | Russia | 2001—2002
Derek King | Canada | 1986—1997
Marko Kiprusoff | Finland | 2001—2002
Anton Klementyev | Russia | 2009—2010
Matt Koalska | United States | 2005—2006
Dustin Kohn | Canada | 2009—2010
Juraj Kolnik | Slovakia | 2000—2002
Leo Komarov | Finland | 2018—Present
Zenon Konopka | Canada | 2010—2011
Steve Konroyd | Canada | 1985—1989
Evgeny Korolev | Russia | 1999—2002
Roger Kortko | Canada | 1984—1986
Viktor Kozlov | Russia | 2006—2007
Jason Krog | Canada | 1999—2002
Richard Kromm | Canada | 1985—1993
Uwe Krupp | Germany | 1991—1994
Paul Kruse | Canada | 1996—1998
Tom Kuhnhackl | Germany | 2018—Present
Nikolay Kulemin | Russia | 2014—2018
Tom Kurvers | United States | 1991—1994
Dale Kushner | Canada | 1989—1990
Oleg Kvasha | Russia | 2000—2006
Scott Lachance | United States | 1991—1999
Daniel Lacroix | Canada | 1999—2000
Andrew Ladd | Canada | 2016—Present
Pat Lafontaine | United States | 1983—1991
Gord Lane | Canada | 1979—1985
Dave Langevin | United States | 1979—1985
Claude Lapointe | Canada | 1993—2003
Reed Larson | United States | 1988—1989
Brad Lauer | Canada | 1986—1992
Brian Lavender | Canada | 1972—1973
Mark Lawrence | Canada | 1997—2001
Derek Laxdal | Canada | 1989—1991
Nick Leddy | United States | 2014—Present
Walt Ledingham | Canada | 1974—19751976—1977
Anders Lee | United States | 2012—Present
Bryan Lefley | Canada | 1972—1974
Ken Leiter | United States | 1984—1988
Alan Letang | Canada | 2002—2003
Dave Lewis | Canada | 1973—1980
Jeff Libby | United States | 1997—1998
Trevor Linden | Canada | 1997—1999
Mats Lindgren | Sweden | 1998—2002
Brett Lindros | Canada | 1994—1996
Claude Loiselle | Canada | 1991—1994
Troy Loney | Canada | 1994—1995
Bob Lorimer | Canada | 1976—1981
Craig Ludwig | United States | 1990—1991
Warren Luhning | Canada | 1997—1999
Brad Lukowich | Canada | 2005—2006
Chris Luongo | United States | 1993—1996
Andrew MacDonald | Canada | 2008—2014
Garth MacGuigan | Canada | 1979—19801983—1984
Bill MacMillan | Canada | 1973—1977
Mike MacWilliam | Canada | 1995—1996
Jim Mair | Canada | 1972—1973
Mikko Makela | Finland | 1985—1990
Vladimir Malakhov | Russia | 1992—1995
David Maley | United States | 1993—1994
Dean Malkoc | Canada | 1998—1999
Don Maloney | Canada | 1989—1991
Eric Manlow | Canada | 2002—2004
Justin Mapletoft | Canada | 2002—2004
Brian Marchinko | Canada | 1972—1974
Hector Marini | Canada | 1978—19791980—1982
Chris Marinucci | United States | 1994—1995
Masi Marjamaki | Finland | 2005—2006
